Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/learn/aws-deepracer/da3be7bddded41c0a293c5700f9e717f/,2120,0,280.0,325.4290759563446,264.1103267669678,1612.5879287719727,24567.0,13.677598099360084,0.0,280,290,290,290,330,760,1000,1100,1100,1600,1600,1600
GET,/learn/introductiontoautonomousvehicles/756eac3fd24d43a6bab0ceba27836f25/,521,0,280.0,291.08188156889406,265.3169631958008,1674.4756698608398,23848.0,3.3613342498899077,0.0,280,290,290,290,300,330,380,410,1700,1700,1700,1700
,Aggregated,2641,0,280.0,318.6532757761622,264.1103267669678,1674.4756698608398,24425.16016660356,17.038932349249993,0.0,280,290,290,290,320,410,1000,1000,1300,1700,1700,1700
